mesh,noise_sigma,spacing_h,epsilon_over_h,epsilon,surface_distance,inside_iou
bunny,0.02,0.07129883407122312,3.0,0.21389650221366935,0.12448132625275508,0.5315348900260956
bunny,0.04,0.08138807738027742,0.05,0.004069403869013871,0.015012624984904245,0.9057504440497336
bunny,0.04,0.08138807738027742,0.1,0.008138807738027743,0.014873984874623327,0.9072994726616709
bunny,0.04,0.08138807738027742,0.25,0.020347019345069356,0.014446889803986975,0.9148252755164202
bunny,0.04,0.08138807738027742,0.5,0.04069403869013871,0.01754300168642527,0.9063463723421522
bunny,0.04,0.08138807738027742,0.75,0.06104105803520807,0.022732377851003547,0.8793094455745059
bunny,0.04,0.08138807738027742,1.0,0.08138807738027742,0.030097039152902114,0.8422493157501866
bunny,0.04,0.08138807738027742,1.5,0.12208211607041614,0.05026902200477203,0.7572357289161992
bunny,0.04,0.08138807738027742,2.0,0.16277615476055485,0.07589592328029442,0.6668361957669888
bunny,0.04,0.08138807738027742,3.0,0.24416423214083227,0.1387813721989685,0.5070606772304308
